Sample,Project
PD45795b_lo0120,2189
PD45795b_lo0121,2189
PD45795b_lo0123,2256
PD45795b_lo0124,2189
PD45795b_lo0125,2256
PD45795b_lo0127,2189
PD45795b_lo0128,2189
PD45795b_lo0129,2189
PD45795b_lo0130,2256
PD45795b_lo0131,2256
PD45795b_lo0132,2256
PD45795b_lo0133,2256
PD45795b_lo0135,2189
PD45795b_lo0136,2256
PD45795b_lo0140,2189
PD45795b_lo0141,2189
PD45795b_lo0144,2189
PD45795b_lo0145,2189
PD45795b_lo0147,2256
PD45795b_lo0148,2256
PD45795b_lo0151,2189
PD45795b_lo0152,2189
PD45795b_lo0153,2189
PD45795b_lo0155,2189
PD45795b_lo0156,2189
PD45795b_lo0157,2189
PD45795b_lo0164,2189
PD45795b_lo0168,2256
PD45795b_lo0169,2189
PD45795b_lo0170,2256
PD45795b_lo0171,2189
PD45795b_lo0173,2189
PD45795b_lo0174,2189
PD45795b_lo0179,2189
PD45795b_lo0180,2256
PD45795b_lo0182,2189
PD45795b_lo0183,2256
PD45795b_lo0185,2256
PD45795b_lo0186,2189
PD45795b_lo0188,2189
PD45795b_lo0189,2189
PD45795b_lo0192,2189
PD45795b_lo0193,2189
PD45795b_lo0196,2189
PD45795b_lo0197,2256
PD45795b_lo0198,2189
PD45795b_lo0199,2189
PD45795b_lo0200,2256
PD45795b_lo0201,2189
PD45795b_lo0202,2256
PD45795b_lo0203,2256
PD45795b_lo0205,2189
PD45795b_lo0206,2189
PD45795b_lo0207,2189
PD45795b_lo0208,2189
PD45795b_lo0209,2256
PD45795b_lo0210,2189
PD45795b_lo0211,2256
PD45795b_lo0212,2256
PD45795b_lo0213,2189
PD45795b_lo0214,2256
PD45795b_lo0215,2189
PD45795b_lo0216,2189
PD45795b_lo0217,2256
PD45795b_lo0219,2256
PD45795b_lo0220,2256
PD45795b_lo0221,2189
PD45795b_lo0222,2189
PD45795b_lo0223,2256
PD45795b_lo0224,2256
PD45795b_lo0227,2189
PD45795b_lo0228,2256
PD45795b_lo0229,2256
PD45795b_lo0230,2189
PD45795b_lo0231,2256
PD45795b_lo0232,2256
PD45795b_lo0233,2256
PD45795b_lo0236,2189
PD45795b_lo0237,2189
PD45795b_lo0238,2256
PD45795b_lo0239,2189
PD45795b_lo0240,2189
PD45795b_lo0241,2189
PD45795b_lo0242,2189
PD45795b_lo0243,2189
PD45795b_lo0244,2256
PD45795b_lo0245,2189
PD45795b_lo0246,2189
PD45795b_lo0247,2256
PD45795b_lo0248,2256
PD45795b_lo0249,2256
PD45795b_lo0250,2189
PD45795b_lo0251,2256
PD45795b_lo0252,2256
PD45795b_lo0254,2256
PD45795b_lo0255,2189
PD45795b_lo0257,2189
PD45795b_lo0258,2189
PD45795b_lo0259,2189
PD45795b_lo0260,2256
PD45795b_lo0261,2256
PD45795b_lo0262,2256
PD45795b_lo0263,2189
PD45795b_lo0264,2256
PD45795b_lo0265,2189
PD45795b_lo0266,2256
PD45795b_lo0267,2256
PD45795b_lo0268,2189
PD45795b_lo0269,2189
PD45795b_lo0270,2189
PD45795b_lo0272,2189
PD45795b_lo0273,2189
PD45795b_lo0276,2189
PD45795b_lo0277,2189
PD45795b_lo0278,2256
PD45795b_lo0279,2256
PD45795b_lo0280,2256
PD45795b_lo0282,2256
PD45795b_lo0283,2256
PD45795b_lo0284,2256
PD45795b_lo0286,2256
PD45795b_lo0287,2256
PD45798b_lo0001,2189
PD45798b_lo0002,2189
PD45798b_lo0003,2189
PD45798b_lo0004,2189
PD45798b_lo0005,2189
PD45798b_lo0006,2189
PD45798b_lo0007,2189
PD45798b_lo0008,2189
PD45798b_lo0009,2189
PD45798b_lo0010,2189
PD45798b_lo0011,2189
PD45798b_lo0015,2189
PD45798b_lo0017,2189
PD45798b_lo0019,2189
PD45798b_lo0020,2189
PD45798b_lo0021,2189
PD45798b_lo0022,2189
PD45798b_lo0023,2189
PD45798b_lo0024,2189
PD45798b_lo0025,2189
PD45798b_lo0026,2189
PD45798b_lo0027,2189
PD45798b_lo0028,2189
PD45798b_lo0029,2189
PD45798b_lo0030,2189
PD45798b_lo0031,2189
PD45798b_lo0032,2189
PD45798b_lo0033,2189
PD45798b_lo0035,2189
PD45798b_lo0036,2189
PD45798b_lo0037,2189
PD45798b_lo0038,2189
PD45798b_lo0039,2189
PD45798b_lo0043,2189
PD45798b_lo0044,2189
PD45798b_lo0046,2189
PD45798b_lo0047,2189
PD45798b_lo0048,2189
PD45798b_lo0050,2189
PD45798b_lo0051,2189
PD45798b_lo0052,2189
PD45798b_lo0053,2189
PD45798b_lo0054,2189
PD45798b_lo0055,2189
PD45798b_lo0056,2189
PD45798b_lo0057,2189
PD45798b_lo0058,2189
PD45798b_lo0059,2189
PD45798b_lo0060,2189
PD45798b_lo0061,2189
PD45798b_lo0062,2693
PD45798b_lo0063,2693
PD45798b_lo0064,2693
PD45798b_lo0065,2693
PD45798b_lo0066,2693
PD45798b_lo0067,2693
PD45798b_lo0070,2693
PD45798b_lo0071,2693
PD45798b_lo0072,2693
PD45798b_lo0073,2693
PD45798b_lo0074,2693
PD45798b_lo0076,2693
PD45798b_lo0077,2693
PD45798b_lo0078,2693
PD45798b_lo0079,2693
PD45798b_lo0080,2693
PD45798b_lo0081,2693
PD45798b_lo0082,2693
PD45798b_lo0083,2693
PD45798b_lo0084,2693
PD45798b_lo0085,2693
PD45798b_lo0086,2693
PD45798b_lo0087,2693
PD45798b_lo0088,2693
PD45798b_lo0089,2693
PD45798b_lo0090,2693
PD45798b_lo0091,2693
PD45798b_lo0092,2693
PD45798b_lo0093,2693
PD45798b_lo0094,2693
PD45798b_lo0095,2693
PD45798b_lo0096,2693
PD45798b_lo0098,2679
PD45798b_lo0099,2679
PD45798b_lo0100,2679
PD45798b_lo0102,2679
PD45798b_lo0103,2679
PD45798b_lo0105,2679
PD45798b_lo0107,2679
PD45798b_lo0108,2679
PD45798b_lo0109,2679
PD45798b_lo0110,2679
PD45798b_lo0111,2679
PD45798b_lo0112,2679
PD45798b_lo0113,2679
PD45798b_lo0114,2679
PD45798b_lo0116,2679
PD45798b_lo0117,2679
PD45798b_lo0118,2679
PD45798b_lo0119,2679
PD45798b_lo0120,2679
PD45798b_lo0121,2679
PD45798b_lo0122,2679
PD45798b_lo0123,2679
PD45798b_lo0124,2679
PD45798b_lo0126,2679
PD45798b_lo0127,2679
PD45798b_lo0128,2679
PD45798b_lo0129,2679
PD45798b_lo0130,2679
PD45798b_lo0131,2679
PD45798b_lo0132,2679
PD45798b_lo0134,2679
PD45798b_lo0135,2679
PD45798b_lo0136,2679
PD45798b_lo0137,2679
PD45798b_lo0138,2679
PD45798b_lo0139,2679
PD45798b_lo0142,2679
PD45798b_lo0143,2679
PD45798b_lo0145,2679
PD45798b_lo0147,2679
PD45798b_lo0148,2679
PD45798b_lo0149,2679
PD45798b_lo0150,2679
PD45798b_lo0151,2679
PD45798b_lo0154,2679
PD45798b_lo0155,2679
PD45798b_lo0156,2679
PD45798b_lo0157,2679
PD45798b_lo0158,2679
PD45798b_lo0159,2679
PD45798b_lo0160,2679
PD45798b_lo0161,2679
PD45798b_lo0162,2679
PD45798b_lo0163,2679
PD45798b_lo0164,2679
PD45798b_lo0165,2679
PD45798b_lo0166,2679
PD45798b_lo0167,2679
PD45798b_lo0168,2679
PD45798b_lo0169,2679
PD45798b_lo0170,2679
PD45798b_lo0172,2679
PD45798b_lo0173,2679
PD45798b_lo0174,2679
PD45798b_lo0175,2679
PD45798b_lo0176,2679
PD45798b_lo0178,2679
PD45798b_lo0179,2679
PD45798b_lo0180,2679
PD45798b_lo0181,2679
PD45798b_lo0183,2679
PD45798b_lo0184,2679
PD45798b_lo0185,2679
PD45798b_lo0186,2679
PD45798b_lo0187,2679
PD45798b_lo0188,2679
PD45798b_lo0189,2679
PD45798b_lo0190,2679
PD45798b_lo0191,2679
PD45798b_lo0192,2679
PD45799b_lo0001,2679
PD45799b_lo0002,2679
PD45799b_lo0004,2679
PD45799b_lo0005,2679
PD45799b_lo0007,2679
PD45799b_lo0008,2679
PD45799b_lo0009,2679
PD45799b_lo0010,2679
PD45799b_lo0011,2679
PD45799b_lo0013,2679
PD45799b_lo0015,2679
PD45799b_lo0016,2679
PD45799b_lo0017,2679
PD45799b_lo0018,2679
PD45799b_lo0019,2679
PD45799b_lo0020,2679
PD45799b_lo0021,2679
PD45799b_lo0022,2679
PD45799b_lo0023,2679
PD45799b_lo0024,2679
PD45799b_lo0026,2679
PD45799b_lo0028,2679
PD45799b_lo0030,2679
PD45799b_lo0031,2679
